,0
0,67.31160684898585
1,62.584635868469476
2,62.89246452225404
3,54.059780007723674
4,55.51664349255614
5,48.947004269194984
6,49.19868167852524
7,64.43277130879319
8,62.8351903512851
9,52.61927599152579
10,64.85772766824688
11,47.2493451841096
12,45.944821247227104
13,72.94857910979132
14,63.71723493132516
15,68.40865070947129
16,24.353387363488732
17,27.162140096131726
18,74.27805606433606
19,56.105203604562405
20,37.37110519969598
21,72.42228922175029
22,41.81770390254389
23,22.259467372122145
24,70.40630263993827
25,34.84600320910255
26,62.24937461524517
27,63.544060557260394
28,54.05234646628448
29,50.084388977756895
30,64.28928279956843
31,35.61257811631253
32,56.94021035174844
33,52.31658488504939
34,65.91002130414054
35,52.64893481517025
36,40.569902385260974
37,40.80608763404843
38,74.42381236123354
39,70.37404517996151
40,52.68806867531504
41,63.996853961628084
42,57.76798455214002
43,52.4028739348384
44,61.688063221500876
45,62.89981215696186
46,59.5617301402616
47,42.85044785123361
48,65.93525062862638
49,60.25400286525884
50,47.27574938313554
51,42.27087617211098
52,21.952325646887044
53,48.23137491204924
54,33.49585519203402
55,68.23679471353132
56,78.60079300182724
57,41.47513140410228
58,10.743771072417498
59,94.00495055085553
60,24.413306749963514
61,36.82242291276559
62,2.5181505573099154
63,59.1013286237184
64,46.89393664386524
