,0
0,65.9394997542815
1,51.571196570196506
2,50.736297654158186
3,49.39196208174934
4,55.66293461434421
5,47.56295824638627
6,49.35074838831789
7,58.71566124704904
8,56.99696097507015
9,47.31417526368779
10,48.50973989660352
11,49.05272732522746
12,44.67371718544918
13,71.32813071315161
14,53.42139941788612
15,59.41458518914876
16,34.41709787262253
17,60.22727923735099
18,59.06142240490379
19,51.210110365464466
20,37.90655331976041
21,78.09628761922251
22,53.332566028034684
23,51.20386333793445
24,47.97168216433811
25,42.153818789511696
26,48.097270522085616
27,55.8772473096358
28,45.368374666808705
29,56.48275157563727
30,42.79968229847416
31,42.447914916300824
32,58.04642288078466
33,54.55321027595905
34,40.46941678682351
35,53.192394213216666
36,52.28159049477299
37,46.54297714086818
38,40.48481804009708
39,42.92900910710354
40,46.7437717810252
41,58.87686320472161
42,51.9494903063289
43,64.19207286298855
44,54.329190163286206
45,54.03874326476914
46,49.91330803664314
47,51.538763119544825
48,49.86518882092739
49,49.53935978492479
50,56.579464632569575
51,55.138516054511
52,45.12863798597969
53,45.760770020990805
54,53.7937280603093
55,37.61929495870534
56,41.34379874742466
57,58.00265557748241
58,68.97639342279935
59,47.096621049926775
60,58.418030642498856
61,42.887864317634566
62,84.05817920720092
63,61.69473454269714
64,31.90547740098366
