,0
0,63.08191345338566
1,40.499362623144535
2,42.78953922446132
3,63.580686923562105
4,44.192440796727844
5,63.512987529255795
6,61.19086141728715
7,41.91383171597601
8,58.24137922628981
9,42.02105534911835
10,46.45616578744961
11,73.42868850841289
12,44.39285649720775
13,41.89819700424403
14,55.32981131323888
15,29.580252071109182
16,45.12972014479442
17,62.30838420499649
18,34.72546885509886
19,50.136380572090594
20,27.10828130070319
21,51.0372647540019
22,67.64096812196894
23,54.63782938416199
24,40.393871550005045
25,35.775103922286455
26,54.461872322655296
27,82.74288338477216
28,56.29041568697392
29,45.8896149039212
30,51.87286073934336
31,58.586292863334
32,50.57789121716213
33,52.006980795172275
34,48.096918974397965
35,60.231377875306414
36,64.87159803120018
37,52.81964970724104
38,63.28042987379362
39,52.127446334779584
40,49.023099901850955
41,46.850269366822516
42,57.368524186934124
43,64.02613948074644
44,55.099677309553954
45,49.35957725133696
46,63.90377909971703
47,54.8491242512042
48,53.17249803349683
49,59.42965217683178
50,27.194415969328634
51,66.38891036133826
52,55.318570554203106
53,59.29469339804453
54,47.31574024613789
55,59.879800548290966
56,63.23456005711088
57,54.95565539620804
58,41.59064191076385
59,38.62620273023405
60,4.058063826161487
