,0
0,52.17029474367085
1,42.04347948031496
2,34.31134151145476
3,53.77721405791809
4,50.67370446047537
5,43.79883451704353
6,30.246471643609258
7,62.5546228469233
8,36.39556855785816
9,83.38423172950019
10,39.52102334952521
11,36.607452303052916
12,56.51915681773485
13,54.83232859454208
14,47.7393780434721
15,32.643668430612436
16,51.839651223406065
17,35.79086450396486
18,44.75325183793637
19,51.238910959090994
20,54.19111019822477
21,57.275330727947654
22,44.31552829138126
23,50.5430202014988
24,52.065726280797556
25,43.83142688671817
26,48.04874263994128
27,44.74968616037542
28,46.87368473599631
29,43.397264702943424
30,47.152038107733055
31,67.3024394229455
32,52.2236442455631
33,42.22719255471627
34,38.21917704613618
35,43.80339334522951
36,45.600199000391086
37,50.841599138072326
38,63.62006136469266
39,57.931373430338816
40,42.58719100183001
41,61.10999687306687
42,42.68207334321547
43,34.58110043551397
44,
45,51.50070874453403
46,52.3949999905709
47,48.36824558269874
48,48.889530574907695
49,50.244456563194966
50,53.319207497084825
51,41.00389550017452
52,57.33933131412052
53,54.721940349558096
54,60.79161971735699
55,50.7961823100421
56,44.53156871317794
57,76.22206892769736
58,60.69690609273168
59,44.64028982091085
60,52.87741892446436
61,34.65702580293216
