,0
0,55.751837795622016
1,44.989696584572876
2,31.799236039220137
3,43.0775168045449
4,59.004342345728276
5,34.9481212151498
6,18.329436115654758
7,57.07918512985598
8,48.66492034503601
9,54.51306511063346
10,41.77219421038465
11,35.372452838463836
12,49.1831214234729
13,50.007523508793724
14,51.933434066567585
15,41.87285798237756
16,48.78134627144981
17,41.718450605745694
18,44.313938398037166
19,55.13746742706423
20,39.34963852472658
21,57.93666891939359
22,45.63320345574025
23,54.51652996109135
24,57.335044474240554
25,49.51403383288339
26,53.35558634633283
27,56.819053701767885
28,46.62479966829271
29,44.16264436262547
30,49.580214092530994
31,59.867977574059076
32,46.91089573253153
33,48.97726617743839
34,41.15888183196339
35,45.41856472292057
36,43.848339628271525
37,47.3693649340032
38,56.22671301261601
39,46.738456194832466
40,57.8548527663275
41,47.0189309719969
42,51.39921597017122
43,47.56196906241603
44,
45,51.794414509332874
46,47.75078690384995
47,50.556102150616965
48,46.89017347343306
49,38.852998435444
50,48.45391382773713
51,41.07898676864222
52,40.3919560070155
53,54.388598957552794
54,57.747671506513356
55,35.832829897204746
56,33.852502262397685
57,42.843536611157504
58,63.654840082342055
59,54.16315412724689
60,51.41431495186853
61,47.506001769913794
