,0
0,50.885609764523885
1,47.9792265466148
2,67.82943272438897
3,47.276355889436516
4,47.62547784131544
5,57.22606212529545
6,29.335336505906675
7,38.10944685948059
8,55.73429359786395
9,34.162214282010446
10,48.62220276904097
11,73.94615246634208
12,42.57713364699001
13,59.310204394968736
14,65.12040897635791
15,47.98022495665524
16,34.3531708611006
17,63.6670311566707
18,44.85153304853028
19,43.43846740082172
20,36.014976337035584
21,46.370375099130975
22,53.67310137463928
23,29.370116354413135
24,29.899706260192374
25,35.479090498499914
26,46.95086286052306
27,63.08874388121745
28,67.28898366362428
29,58.33052988289796
30,66.69488603257261
31,31.054514786590588
32,47.014356599655656
33,55.125377797194886
34,78.23624752390664
35,45.81081562082313
36,59.711692746805426
37,36.77259551143103
38,44.289739883176836
39,32.74450395008014
40,60.296988513303134
41,31.400585332646298
42,31.0457238423149
43,59.90649700136677
44,
45,52.43258803520181
46,64.31568642530995
47,46.07070284194678
48,51.12984748937098
49,37.50708405949261
50,50.868906359751804
51,57.77896162334254
52,66.16003667561559
53,42.77515151693584
54,71.33138771139969
55,61.82088775715832
56,60.687468694109285
57,68.20726406340057
58,29.78836281092688
59,66.6676260758779
60,48.37945513583034
61,41.762017449748534
