,0
0,41.59773053473283
1,48.977116559235554
2,50.06610900874447
3,41.283012029592506
4,47.484064198927435
5,63.322203276775134
6,55.67323685363411
7,39.38913260952688
8,60.556049753552486
9,46.0155056844491
10,47.33529330479152
11,71.84825408682096
12,47.548237738483536
13,60.103324466242285
14,65.28431818831835
15,54.59321463200742
16,29.373495501135043
17,63.14675050151309
18,48.06223616269282
19,54.59202790563212
20,33.685145649808135
21,56.17588947387728
22,54.825865640680846
23,38.632262299344276
24,39.0639174182575
25,64.3823478577503
26,57.098110456151886
27,44.76014828020612
28,49.69944436822266
29,48.760527728759726
30,61.456780214140316
31,33.75800267229701
32,54.481258429908955
33,52.71103763849019
34,78.52606395364838
35,39.71176153076896
36,62.74552944724541
37,37.90304915425338
38,53.669600506941144
39,26.11477242916289
40,50.99655245457778
41,39.42449357801997
42,29.17634758482432
43,63.37507673956608
44,
45,63.023944411040524
46,33.270625900830964
47,51.73564654635601
48,52.152580388048285
49,43.68733509893139
50,50.6725244737063
51,47.07401995048136
52,85.34258296450216
53,43.28441709725808
54,71.8501296002174
55,60.803478536642515
56,51.5506957002917
57,47.121003167891956
58,39.81886382860242
59,52.933904367352575
60,52.318139935962435
61,25.17661473061638
