,0
0,67.87860571043622
1,46.86533006610493
2,75.34630789382318
3,45.49840523567811
4,45.43783658013927
5,55.10646563342917
6,45.87173596528297
7,53.321029781568775
8,36.14780684515969
9,49.73269022274798
10,54.216539329220446
11,72.77091348523582
12,47.710753223548366
13,46.258289653299556
14,58.73055814542926
15,55.01490898585533
16,57.35994311910409
17,49.89077812263989
18,39.78129799696746
19,57.2232610796553
20,44.118664791356096
21,56.85326160784946
22,60.670312655103054
23,54.02931337575818
24,44.98253888603438
25,55.31038459871083
26,55.39281061615882
27,69.2824959387919
28,55.947825814775214
29,56.23284223497776
30,45.80091006705064
31,64.86888242249154
32,50.24710814999768
33,50.075227108596486
34,46.599216498111254
35,56.50460698565803
36,58.86982431349116
37,41.95044392011833
38,67.07818499227582
39,50.5695459946179
40,54.705884046029205
41,39.34811438116774
42,46.06975384574484
43,54.43356282586419
44,53.280598134677966
45,59.34932272122723
46,60.52886777013161
47,48.2026751548058
48,55.52862006924584
49,77.37792057581184
50,29.55627026005794
51,49.58154409257963
52,48.071452093951834
53,55.809023856557495
54,52.8446826270415
55,73.63630905421854
56,62.076120380196734
57,42.69649292904165
58,37.50995728124742
59,48.580761387397175
60,24.425860423467636
